flips,matches,mismatches,actions,startTime,endTime,durationInSeconds
38,8,11,"['flip-5', 'flip-1', 'flip-7', 'flip-2', 'flip-1', 'flip-1', 'flip-3', 'flip-4', 'flip-3', 'flip-3', 'flip-6', 'flip-7', 'flip-5', 'flip-7', 'flip-7', 'flip-7', 'flip-6', 'flip-4', 'flip-5', 'flip-6', 'flip-6', 'flip-6', 'flip-8', 'flip-2', 'flip-4', 'flip-4', 'flip-2', 'flip-8', 'flip-5', 'flip-2', 'flip-5', 'flip-5', 'flip-8', 'flip-2', 'flip-8', 'flip-8', 'flip-2', 'flip-2']",2025-05-19T05:57:25.415Z,2025-05-19T05:58:00.359Z,34
36,8,10,"['flip-1', 'flip-6', 'flip-3', 'flip-5', 'flip-1', 'flip-1', 'flip-2', 'flip-2', 'flip-3', 'flip-3', 'flip-6', 'flip-4', 'flip-5', 'flip-4', 'flip-4', 'flip-4', 'flip-7', 'flip-6', 'flip-8', 'flip-5', 'flip-6', 'flip-7', 'flip-5', 'flip-5', 'flip-8', 'flip-6', 'flip-6', 'flip-6', 'flip-7', 'flip-8', 'flip-7', 'flip-8', 'flip-8', 'flip-8', 'flip-7', 'flip-7']",2025-05-19T06:04:32.720Z,2025-05-19T06:05:04.967Z,32
40,8,12,"['flip-1', 'flip-5', 'flip-6', 'flip-1', 'flip-1', 'flip-1', 'flip-5', 'flip-8', 'flip-6', 'flip-3', 'flip-6', 'flip-6', 'flip-7', 'flip-2', 'flip-5', 'flip-4', 'flip-4', 'flip-3', 'flip-7', 'flip-4', 'flip-5', 'flip-4', 'flip-4', 'flip-4', 'flip-3', 'flip-8', 'flip-3', 'flip-3', 'flip-5', 'flip-8', 'flip-8', 'flip-8', 'flip-2', 'flip-7', 'flip-2', 'flip-2', 'flip-7', 'flip-7', 'flip-5', 'flip-5']",2025-05-19T06:05:13.439Z,2025-05-19T06:05:45.751Z,32
38,8,11,"['flip-3', 'flip-2', 'flip-8', 'flip-3', 'flip-3', 'flip-2', 'flip-1', 'flip-2', 'flip-2', 'flip-2', 'flip-6', 'flip-3', 'flip-1', 'flip-4', 'flip-6', 'flip-5', 'flip-7', 'flip-7', 'flip-3', 'flip-5', 'flip-1', 'flip-3', 'flip-3', 'flip-3', 'flip-8', 'flip-5', 'flip-5', 'flip-5', 'flip-8', 'flip-8', 'flip-1', 'flip-1', 'flip-4', 'flip-6', 'flip-6', 'flip-6', 'flip-4', 'flip-4']",2025-05-19T06:05:48.831Z,2025-05-19T06:06:19.655Z,30
40,8,12,"['flip-2', 'flip-4', 'flip-4', 'flip-2', 'flip-4', 'flip-4', 'flip-2', 'flip-2', 'flip-1', 'flip-1', 'flip-7', 'flip-3', 'flip-5', 'flip-8', 'flip-3', 'flip-8', 'flip-6', 'flip-5', 'flip-6', 'flip-7', 'flip-6', 'flip-8', 'flip-6', 'flip-6', 'flip-8', 'flip-5', 'flip-3', 'flip-8', 'flip-8', 'flip-8', 'flip-3', 'flip-5', 'flip-3', 'flip-7', 'flip-3', 'flip-3', 'flip-7', 'flip-7', 'flip-5', 'flip-5']",2025-05-19T06:06:22.159Z,2025-05-19T06:06:54.015Z,31
46,8,15,"['flip-1', 'flip-5', 'flip-6', 'flip-4', 'flip-8', 'flip-3', 'flip-2', 'flip-3', 'flip-2', 'flip-4', 'flip-3', 'flip-2', 'flip-2', 'flip-2', 'flip-1', 'flip-7', 'flip-7', 'flip-7', 'flip-5', 'flip-6', 'flip-1', 'flip-6', 'flip-5', 'flip-4', 'flip-3', 'flip-4', 'flip-1', 'flip-4', 'flip-6', 'flip-1', 'flip-1', 'flip-1', 'flip-5', 'flip-5', 'flip-4', 'flip-6', 'flip-3', 'flip-3', 'flip-8', 'flip-4', 'flip-4', 'flip-4', 'flip-6', 'flip-6', 'flip-8', 'flip-8']",2025-05-19T06:06:57.247Z,2025-05-19T06:07:37.616Z,40
34,8,9,"['flip-1', 'flip-5', 'flip-2', 'flip-8', 'flip-6', 'flip-4', 'flip-2', 'flip-4', 'flip-4', 'flip-4', 'flip-5', 'flip-1', 'flip-5', 'flip-5', 'flip-7', 'flip-3', 'flip-7', 'flip-7', 'flip-3', 'flip-3', 'flip-6', 'flip-8', 'flip-2', 'flip-6', 'flip-6', 'flip-6', 'flip-2', 'flip-2', 'flip-8', 'flip-1', 'flip-8', 'flip-8', 'flip-1', 'flip-1']",2025-05-19T06:09:58.631Z,2025-05-19T06:10:24.623Z,25
32,8,8,"['flip-3', 'flip-2', 'flip-1', 'flip-6', 'flip-4', 'flip-4', 'flip-5', 'flip-2', 'flip-5', 'flip-5', 'flip-6', 'flip-7', 'flip-1', 'flip-7', 'flip-6', 'flip-8', 'flip-7', 'flip-7', 'flip-2', 'flip-2', 'flip-8', 'flip-3', 'flip-3', 'flip-3', 'flip-1', 'flip-8', 'flip-8', 'flip-8', 'flip-1', 'flip-1', 'flip-6', 'flip-6']",2025-05-19T06:10:29.111Z,2025-05-19T06:10:54.063Z,24
42,8,13,"['flip-3', 'flip-2', 'flip-1', 'flip-7', 'flip-4', 'flip-1', 'flip-7', 'flip-1', 'flip-1', 'flip-1', 'flip-6', 'flip-6', 'flip-5', 'flip-8', 'flip-5', 'flip-4', 'flip-5', 'flip-5', 'flip-8', 'flip-7', 'flip-3', 'flip-8', 'flip-2', 'flip-3', 'flip-4', 'flip-4', 'flip-8', 'flip-7', 'flip-3', 'flip-8', 'flip-8', 'flip-3', 'flip-8', 'flip-8', 'flip-7', 'flip-2', 'flip-2', 'flip-2', 'flip-7', 'flip-7', 'flip-3', 'flip-3']",2025-05-19T06:10:56.551Z,2025-05-19T06:11:32.215Z,35
32,8,8,"['flip-1', 'flip-7', 'flip-1', 'flip-1', 'flip-4', 'flip-5', 'flip-2', 'flip-4', 'flip-6', 'flip-2', 'flip-2', 'flip-2', 'flip-4', 'flip-4', 'flip-5', 'flip-5', 'flip-6', 'flip-8', 'flip-7', 'flip-3', 'flip-7', 'flip-7', 'flip-3', 'flip-6', 'flip-8', 'flip-3', 'flip-8', 'flip-8', 'flip-3', 'flip-3', 'flip-6', 'flip-6']",2025-05-19T05:49:44.600Z,2025-05-19T05:50:10.919Z,26
